Código Projeto,Setor,Valor Orçado,Valor Negociado,Desconto Concedido,Data Ativação Lead,Data Início,Data Termino,Cod Responsavel,Status
PA-1344,Financeiro,R$ 21100.00,R$ 21100.00,R$ 0.00,2.12.2017,21.1.2018,13.7.2018,4,Finalizado
PA-1345,Compras,R$ 21400.00,R$ 15000.00,R$ 6400.00,2.12.2017,,,5,Prospecção
PA-1346,TI,R$ 30700.00,R$ 30700.00,R$ 0.00,3.12.2017,,,2,Aguardando NF
PA-1347,Marketing,R$ 4300.00,R$ 3900.00,R$ 400.00,3.12.2017,,,5,Em negociação
PA-1348,Comercial,R$ 20400.00,R$ 20400.00,R$ 0.00,3.12.2017,,,3,Prospecção
PA-1349,Comercial,R$ 4900.00,R$ 4900.00,R$ 0.00,3.12.2017,14.1.2018,,4,Em andamento
PA-1350,Marketing,R$ 21300.00,R$ 21300.00,R$ 0.00,4.12.2017,,,1,Prospecção
PA-1351,LOGÍSTICA,R$ 18100.00,R$ 18100.00,R$ 0.00,5.12.2017,2.1.2018,,6,EM ANDAMENTO
PA-1352,Marketing,R$ 31900.00,R$ 31900.00,R$ 0.00,5.12.2017,5.2.2018,,2,Em andamento
PA-1353,Marketing,R$ 32700.00,R$ 29400.00,R$ 3300.00,5.12.2017,,,5,Em negociação
PA-1354,Marketing,R$ 33900.00,R$ 23700.00,R$ 10200.00,6.12.2017,,,2,Aguardando NF
PA-1355,Comercial,R$ 5400.00,R$ 3800.00,R$ 1600.00,6.12.2017,,,9,Aguardando NF
PA-1356,Compras,R$ 30200.00,R$ 30200.00,R$ 0.00,6.12.2017,,,9,Prospecção
PA-1357,Financeiro,R$ 19600.00,R$ 13700.00,R$ 5900.00,6.12.2017,22.1.2018,,10,Em andamento
PA-1358,Marketing,R$ 7700.00,R$ 5400.00,R$ 2300.00,6.12.2017,,,10,Prospecção
PA-1359,Comercial,R$ 15200.00,R$ 15200.00,R$ 0.00,7.12.2017,12.1.2018,,5,Em andamento
PA-1360,Marketing,R$ 37400.00,R$ 29900.00,R$ 7500.00,7.12.2017,,,8,Em negociação
PA-1361,comercial,R$ 13000.00,R$ 10400.00,R$ 2600.00,7.12.2017,,,1,Em negociação
PA-1362,Comercial,R$ 7600.00,R$ 7600.00,R$ 0.00,8.12.2017,,,10,Em negociação
PA-1363,Financeiro,R$ 37500.00,R$ 30000.00,R$ 7500.00,9.12.2017,,,6,Aguardando NF
PA-1364,Logística,R$ 17100.00,R$ 17100.00,R$ 0.00,9.12.2017,6.2.2018,16.3.2018,6,Finalizado
PA-1365,TI,R$ 24700.00,R$ 24700.00,R$ 0.00,10.12.2017,4.2.2018,1.5.2018,9,Finalizado
PA-1366,Marketing,R$ 22100.00,R$ 15500.00,R$ 6600.00,10.12.2017,12.2.2018,23.3.2018,7,Finalizado
PA-1367,RH,R$ 3000.00,R$ 3000.00,R$ 0.00,10.12.2017,,,1,Prospecção
PA-1368,Produção,R$ 5400.00,R$ 5400.00,R$ 0.00,10.12.2017,,,2,Prospecção
PA-1369,Marketing,R$ 6400.00,R$ 6400.00,R$ 0.00,10.12.2017,,,5,Prospecção
PA-1370,TI,R$ 14800.00,R$ 14800.00,R$ 0.00,11.12.2017,,,4,Em negociação
PA-1371,RH,R$ 21600.00,R$ 19400.00,R$ 2200.00,11.12.2017,,,4,Prospecção
PA-1372,Marketing,R$ 19000.00,R$ 19000.00,R$ 0.00,12.12.2017,,,10,Em negociação
PA-1373,Comercial,R$ 25300.00,R$ 22800.00,R$ 2500.00,13.12.2017,18.1.2018,,3,Em andamento
PA-1374,Produção,R$ 17000.00,R$ 17000.00,R$ 0.00,13.12.2017,,,8,Aguardando NF
PA-1375,Financeiro,R$ 37700.00,R$ 30200.00,R$ 7500.00,14.12.2017,,,8,Aguardando NF
PA-1376,Logística,R$ 13200.00,R$ 13200.00,R$ 0.00,15.12.2017,3.2.2018,,2,Em andamento
PA-1377,Marketing,R$ 14600.00,R$ 14600.00,R$ 0.00,16.12.2017,,,3,Prospecção
PA-1378,Marketing,R$ 36500.00,R$ 25600.00,R$ 10900.00,16.12.2017,,,8,Em negociação
PA-1379,TI,R$ 7600.00,R$ 5300.00,R$ 2300.00,17.12.2017,,,9,Prospecção
PA-1380,Logística,R$ 5300.00,R$ 4200.00,R$ 1100.00,17.12.2017,,,10,Em negociação
PA-1381,FINANCEIRO,R$ 24300.00,R$ 19400.00,R$ 4900.00,17.12.2017,,,9,Prospecção
PA-1382,Financeiro,R$ 23000.00,R$ 20700.00,R$ 2300.00,18.12.2017,,,8,Prospecção
PA-1383,Marketing,R$ 11000.00,R$ 8800.00,R$ 2200.00,19.12.2017,,,1,Em negociação
PA-1384,TI,R$ 24700.00,R$ 22200.00,R$ 2500.00,20.12.2017,,,6,Aguardando NF
PA-1385,Comercial,R$ 9400.00,R$ 7500.00,R$ 1900.00,20.12.2017,,,5,Prospecção
PA-1386,Comercial,R$ 19700.00,R$ 19700.00,R$ 0.00,21.12.2017,,,6,Em negociação
PA-1387,Produção,R$ 26300.00,R$ 26300.00,R$ 0.00,22.12.2017,,,5,Em negociação
PA-1388,Marketing,R$ 37700.00,R$ 33900.00,R$ 3800.00,23.12.2017,,,10,Em negociação
PA-1389,Compras,R$ 7700.00,R$ 7700.00,R$ 0.00,24.12.2017,,,5,Em negociação
PA-1390,Marketing,R$ 34700.00,R$ 34700.00,R$ 0.00,25.12.2017,25.1.2018,,3,Em andamento
PA-1391,Comercial,R$ 25600.00,R$ 25600.00,R$ 0.00,26.12.2017,30.1.2018,4.5.2018,6,Finalizado
PA-1392,Comercial,R$ 37700.00,R$ 37700.00,R$ 0.00,27.12.2017,,,7,Aguardando NF
PA-1393,Financeiro,R$ 8300.00,R$ 7500.00,R$ 800.00,28.12.2017,,,9,Em negociação
PA-1394,Marketing,R$ 9200.00,R$ 8300.00,R$ 900.00,29.12.2017,,,7,Prospecção
PA-1395,TI,R$ 27800.00,R$ 27800.00,R$ 0.00,29.12.2017,,,5,Aguardando NF
PA-1396,TI,R$ 14500.00,R$ 14500.00,R$ 0.00,29.12.2017,17.2.2018,,9,Em andamento
PA-1397,TI,R$ 25000.00,R$ 22500.00,R$ 2500.00,29.12.2017,28.2.2018,22.3.2018,8,Finalizado
PA-1398,TI,R$ 24700.00,R$ 22200.00,R$ 2500.00,29.12.2017,18.1.2018,,3,Em andamento
PA-1399,Comercial,R$ 21200.00,R$ 21200.00,R$ 0.00,29.12.2017,30.1.2018,17.3.2018,9,Finalizado
PA-1400,Marketing,R$ 17600.00,R$ 15800.00,R$ 1800.00,29.12.2017,,,10,Em negociação
PA-1401,produção,R$ 22900.00,R$ 20600.00,R$ 2300.00,29.12.2017,31.1.2018,,4,EM ANDAMENTO
PA-1402,Logística,R$ 31800.00,R$ 25400.00,R$ 6400.00,30.12.2017,26.2.2018,24.3.2018,4,Finalizado
PA-1403,RH,R$ 34300.00,R$ 34300.00,R$ 0.00,30.12.2017,26.2.2018,,6,Em andamento
PA-1404,Financeiro,R$ 14200.00,R$ 14200.00,R$ 0.00,30.12.2017,8.3.2018,,4,Em andamento
PA-1405,Comercial,R$ 22900.00,R$ 18300.00,R$ 4600.00,31.12.2017,,,5,Em negociação
PA-1406,Comercial,R$ 11600.00,R$ 11600.00,R$ 0.00,1.1.2018,,,4,Em negociação
PA-1407,Produção,R$ 3500.00,R$ 3500.00,R$ 0.00,2.1.2018,15.2.2018,,1,Em andamento
PA-1408,Marketing,R$ 20500.00,R$ 18500.00,R$ 2000.00,2.1.2018,,,4,Em negociação
PA-1409,Financeiro,R$ 32200.00,R$ 32200.00,R$ 0.00,2.1.2018,,,6,Aguardando NF
PA-1410,Financeiro,R$ 22700.00,R$ 22700.00,R$ 0.00,3.1.2018,,,1,Aguardando NF
PA-1411,TI,R$ 10200.00,R$ 10200.00,R$ 0.00,4.1.2018,,,7,Prospecção
PA-1412,Marketing,R$ 24700.00,R$ 24700.00,R$ 0.00,4.1.2018,,,9,Em negociação
PA-1413,Logística,R$ 25100.00,R$ 25100.00,R$ 0.00,4.1.2018,,,9,Aguardando NF
PA-1414,Financeiro,R$ 26700.00,R$ 26700.00,R$ 0.00,4.1.2018,,,4,Em negociação
PA-1415,Financeiro,R$ 35800.00,R$ 35800.00,R$ 0.00,4.1.2018,,,5,Prospecção
PA-1416,Marketing,R$ 28100.00,R$ 28100.00,R$ 0.00,4.1.2018,,,10,Prospecção
PA-1417,Comercial,R$ 17900.00,R$ 17900.00,R$ 0.00,5.1.2018,,,9,Em negociação
PA-1418,RH,R$ 10500.00,R$ 9500.00,R$ 1000.00,6.1.2018,,,8,Aguardando NF
PA-1419,RH,R$ 23800.00,R$ 23800.00,R$ 0.00,7.1.2018,,,1,Aguardando NF
PA-1420,Comercial,R$ 27000.00,R$ 27000.00,R$ 0.00,8.1.2018,,,5,Aguardando NF
PA-1421,Marketing,R$ 18600.00,R$ 14900.00,R$ 3700.00,9.1.2018,,,4,Em negociação
PA-1422,Produção,R$ 19900.00,R$ 19900.00,R$ 0.00,10.1.2018,,,9,Aguardando NF
PA-1423,Comercial,R$ 36000.00,R$ 32400.00,R$ 3600.00,10.1.2018,,,2,Prospecção
PA-1424,Financeiro,R$ 34500.00,R$ 34500.00,R$ 0.00,11.1.2018,,,7,Prospecção
PA-1425,TI,R$ 11800.00,R$ 11800.00,R$ 0.00,12.1.2018,,,4,Aguardando NF
PA-1426,Produção,R$ 17200.00,,R$ 3400.00,12.1.2018,,,3,Aguardando NF
PA-1427,Marketing,R$ 36900.00,R$ 29500.00,R$ 7400.00,12.1.2018,,,3,Aguardando NF
PA-1428,Logística,R$ 18900.00,R$ 15100.00,R$ 3800.00,12.1.2018,,,1,Aguardando NF
PA-1429,Marketing,R$ 29400.00,R$ 26500.00,R$ 2900.00,13.1.2018,,,5,Em negociação
PA-1430,Financeiro,R$ 24300.00,R$ 24300.00,R$ 0.00,14.1.2018,24.3.2018,19.5.2018,4,Finalizado
PA-1431,Marketing,R$ 31300.00,R$ 31300.00,,14.1.2018,,,5,Prospecção
PA-1432,TI,R$ 26900.00,R$ 26900.00,R$ 0.00,15.1.2018,22.3.2018,18.7.2018,7,Finalizado
PA-1433,Produção,R$ 27100.00,R$ 27100.00,R$ 0.00,15.1.2018,,,2,Aguardando NF
PA-1434,Comercial,R$ 6300.00,R$ 6300.00,R$ 0.00,15.1.2018,,,4,Aguardando NF
PA-1435,Financeiro,R$ 21100.00,R$ 21100.00,R$ 0.00,15.1.2018,,,1,Prospecção
PA-1436,Marketing,R$ 25900.00,R$ 18100.00,R$ 7800.00,15.1.2018,,,6,Prospecção
PA-1437,Produção,R$ 17300.00,R$ 12100.00,R$ 5200.00,15.1.2018,,,7,Prospecção
PA-1438,Comercial,R$ 20100.00,R$ 16100.00,R$ 4000.00,15.1.2018,,,2,Aguardando NF
PA-1439,Financeiro,R$ 13800.00,R$ 13800.00,R$ 0.00,16.1.2018,,,10,Prospecção
PA-1440,Financeiro,R$ 21700.00,R$ 21700.00,R$ 0.00,17.1.2018,1.3.2018,,7,Em andamento
PA-1441,ti,R$ 29300.00,R$ 26400.00,R$ 2900.00,17.1.2018,,,7,Prospecção
PA-1442,TI,R$ 28900.00,R$ 23100.00,R$ 5800.00,18.1.2018,21.2.2018,,9,Em andamento
PA-1443,RH,R$ 5700.00,R$ 4000.00,R$ 1700.00,18.1.2018,,,2,Prospecção
PA-1444,Logística,R$ 8800.00,R$ 8800.00,R$ 0.00,18.1.2018,,,8,Aguardando NF
PA-1445,Marketing,R$ 4200.00,R$ 4200.00,R$ 0.00,18.1.2018,25.3.2018,7.5.2018,9,Finalizado
PA-1446,Financeiro,R$ 4100.00,R$ 4100.00,R$ 0.00,18.1.2018,,,7,Aguardando NF
PA-1447,Comercial,R$ 27300.00,R$ 27300.00,R$ 0.00,19.1.2018,,,9,Em negociação
PA-1448,Comercial,R$ 31300.00,R$ 21900.00,R$ 9400.00,19.1.2018,,,9,Em negociação
PA-1449,Compras,R$ 22200.00,R$ 22200.00,R$ 0.00,20.1.2018,30.3.2018,,8,Em andamento
PA-1450,Marketing,R$ 12400.00,R$ 12400.00,R$ 0.00,21.1.2018,,,3,Prospecção
PA-1451,Financeiro,R$ 12400.00,R$ 12400.00,R$ 0.00,22.1.2018,,,7,PROSPECÇÃO
PA-1452,Logística,R$ 25900.00,R$ 25900.00,R$ 0.00,23.1.2018,13.3.2018,29.7.2018,9,Finalizado
PA-1453,Logística,R$ 33100.00,R$ 29800.00,R$ 3300.00,23.1.2018,18.2.2018,,10,Em andamento
PA-1454,TI,R$ 36600.00,R$ 36600.00,R$ 0.00,23.1.2018,,,10,Prospecção
PA-1455,Logística,R$ 33900.00,R$ 30500.00,R$ 3400.00,23.1.2018,,,4,Em negociação
PA-1456,Comercial,R$ 27500.00,R$ 27500.00,R$ 0.00,24.1.2018,,,6,Em negociação
PA-1457,Financeiro,R$ 17300.00,R$ 17300.00,R$ 0.00,24.1.2018,,,9,Em negociação
PA-1458,TI,R$ 33000.00,R$ 33000.00,R$ 0.00,24.1.2018,,,3,Prospecção
PA-1459,Financeiro,R$ 27700.00,R$ 27700.00,R$ 0.00,24.1.2018,,,8,Prospecção
PA-1460,TI,R$ 35500.00,R$ 24900.00,R$ 10600.00,24.1.2018,,,4,Aguardando NF
PA-1461,Compras,R$ 9400.00,R$ 9400.00,R$ 0.00,24.1.2018,,,8,Em negociação
PA-1462,TI,R$ 6000.00,R$ 4800.00,R$ 1200.00,25.1.2018,19.2.2018,,8,Em andamento
PA-1463,TI,R$ 17300.00,R$ 17300.00,R$ 0.00,25.1.2018,,,8,Aguardando NF
PA-1464,Marketing,R$ 7600.00,R$ 7600.00,R$ 0.00,26.1.2018,5.3.2018,,9,Em andamento
PA-1465,Logística,R$ 35400.00,R$ 24800.00,R$ 10600.00,26.1.2018,,,9,Aguardando NF
PA-1466,Marketing,R$ 30400.00,R$ 21300.00,R$ 9100.00,26.1.2018,,,9,Aguardando NF
PA-1467,Logística,R$ 20300.00,R$ 20300.00,R$ 0.00,27.1.2018,,,2,Prospecção
PA-1468,RH,R$ 37300.00,R$ 26100.00,R$ 11200.00,27.1.2018,,,4,Prospecção
PA-1469,Marketing,R$ 27600.00,R$ 27600.00,R$ 0.00,27.1.2018,,,2,Prospecção
PA-1470,Logística,R$ 13100.00,R$ 13100.00,R$ 0.00,28.1.2018,,,10,Prospecção
PA-1471,MARKETING,R$ 35600.00,R$ 35600.00,R$ 0.00,28.1.2018,8.3.2018,,4,Em andamento
PA-1472,Financeiro,R$ 11700.00,R$ 9400.00,R$ 2300.00,29.1.2018,,,6,Prospecção
PA-1473,Comercial,R$ 35600.00,R$ 32000.00,R$ 3600.00,29.1.2018,,,5,Prospecção
PA-1474,Marketing,R$ 13700.00,R$ 13700.00,R$ 0.00,29.1.2018,20.3.2018,8.8.2018,9,Finalizado
PA-1475,Marketing,R$ 8200.00,R$ 8200.00,R$ 0.00,29.1.2018,,,2,Em negociação
PA-1476,Marketing,R$ 14500.00,R$ 10200.00,R$ 4300.00,29.1.2018,,,10,Aguardando NF
PA-1477,Comercial,R$ 4300.00,R$ 3400.00,R$ 900.00,29.1.2018,,,6,Prospecção
PA-1478,Marketing,R$ 27500.00,R$ 19300.00,R$ 8200.00,30.1.2018,,,6,Aguardando NF
PA-1479,Marketing,R$ 12500.00,R$ 12500.00,R$ 0.00,31.1.2018,,,5,Em negociação
PA-1480,Logística,R$ 26100.00,R$ 26100.00,R$ 0.00,31.1.2018,,,7,Em negociação
PA-1481,ti,R$ 36600.00,R$ 36600.00,R$ 0.00,1.2.2018,,,10,Prospecção
PA-1482,Compras,R$ 9300.00,R$ 8400.00,R$ 900.00,1.2.2018,,,10,Prospecção
PA-1483,Logística,R$ 23600.00,R$ 21200.00,R$ 2400.00,2.2.2018,,,9,Em negociação
PA-1484,Marketing,R$ 35700.00,R$ 35700.00,R$ 0.00,3.2.2018,18.3.2018,31.3.2018,5,Finalizado
PA-1485,Produção,R$ 36100.00,R$ 36100.00,R$ 0.00,3.2.2018,27.3.2018,16.4.2018,1,Finalizado
PA-1486,Marketing,R$ 20400.00,R$ 16300.00,R$ 4100.00,4.2.2018,,,10,Prospecção
PA-1487,Financeiro,R$ 30200.00,R$ 30200.00,R$ 0.00,5.2.2018,,,1,Em negociação
PA-1488,RH,R$ 22300.00,R$ 22300.00,R$ 0.00,5.2.2018,,,5,Prospecção
PA-1489,TI,R$ 24000.00,R$ 19200.00,R$ 4800.00,6.2.2018,,,7,Aguardando NF
PA-1490,TI,R$ 4600.00,R$ 4600.00,R$ 0.00,6.2.2018,17.4.2018,,4,Em andamento
PA-1491,Marketing,R$ 4700.00,R$ 4700.00,R$ 0.00,7.2.2018,,,6,Em negociação
PA-1492,TI,R$ 31700.00,R$ 31700.00,R$ 0.00,8.2.2018,31.3.2018,,10,Em andamento
PA-1493,Financeiro,R$ 26300.00,R$ 26300.00,R$ 0.00,9.2.2018,,,7,Prospecção
PA-1494,Financeiro,R$ 14100.00,R$ 11300.00,R$ 2800.00,9.2.2018,,,2,Em negociação
PA-1495,Comercial,R$ 37900.00,R$ 37900.00,R$ 0.00,9.2.2018,,,5,Em negociação
PA-1496,TI,R$ 5400.00,R$ 5400.00,R$ 0.00,10.2.2018,,,9,Prospecção
PA-1497,Comercial,R$ 34000.00,R$ 30600.00,R$ 3400.00,10.2.2018,,,10,Em negociação
PA-1498,Comercial,R$ 31900.00,R$ 31900.00,R$ 0.00,10.2.2018,,,8,Aguardando NF
PA-1499,Comercial,R$ 12600.00,R$ 12600.00,R$ 0.00,11.2.2018,,,3,Aguardando NF
PA-1500,Logística,R$ 29800.00,R$ 29800.00,R$ 0.00,12.2.2018,,,8,Aguardando NF
PA-1501,TI,R$ 16500.00,R$ 16500.00,R$ 0.00,13.2.2018,,,5,PROSPECÇÃO
PA-1502,Comercial,R$ 10200.00,R$ 7100.00,R$ 3100.00,13.2.2018,,,4,Prospecção
PA-1503,TI,R$ 32300.00,R$ 32300.00,R$ 0.00,14.2.2018,,,5,Em negociação
PA-1504,TI,R$ 19700.00,R$ 19700.00,R$ 0.00,15.2.2018,,,9,Em negociação
PA-1505,Marketing,R$ 12200.00,R$ 12200.00,R$ 0.00,15.2.2018,,,4,Prospecção
PA-1506,Financeiro,R$ 34400.00,R$ 31000.00,R$ 3400.00,15.2.2018,,,6,Prospecção
PA-1507,TI,R$ 36400.00,R$ 32800.00,R$ 3600.00,16.2.2018,,,2,Em negociação
PA-1508,Marketing,R$ 10800.00,R$ 8600.00,R$ 2200.00,17.2.2018,,,2,Em negociação
PA-1509,TI,R$ 26800.00,R$ 26800.00,R$ 0.00,17.2.2018,,,7,Aguardando NF
PA-1510,Comercial,R$ 15600.00,R$ 12500.00,R$ 3100.00,17.2.2018,22.3.2018,15.5.2018,7,Finalizado
PA-1511,TI,R$ 24500.00,R$ 22100.00,R$ 2400.00,18.2.2018,12.3.2018,,10,Em andamento
PA-1512,TI,R$ 12600.00,R$ 12600.00,R$ 0.00,19.2.2018,15.4.2018,,2,Em andamento
PA-1513,Compras,R$ 4600.00,R$ 3200.00,R$ 1400.00,20.2.2018,,,10,Aguardando NF
PA-1514,Marketing,R$ 11000.00,R$ 11000.00,R$ 0.00,21.2.2018,,,2,Prospecção
PA-1515,Marketing,R$ 15100.00,R$ 13600.00,R$ 1500.00,22.2.2018,,,3,Prospecção
PA-1516,Logística,R$ 30500.00,R$ 30500.00,R$ 0.00,22.2.2018,,,2,Aguardando NF
PA-1517,Comercial,R$ 36200.00,R$ 25300.00,R$ 10900.00,22.2.2018,,,6,Prospecção
PA-1518,Marketing,R$ 22500.00,R$ 18000.00,R$ 4500.00,22.2.2018,,,10,Aguardando NF
PA-1519,Comercial,R$ 18900.00,R$ 13200.00,R$ 5700.00,22.2.2018,,,2,Prospecção
PA-1520,Comercial,R$ 7000.00,R$ 7000.00,R$ 0.00,23.2.2018,31.3.2018,,2,Em andamento
PA-1521,logística,R$ 32200.00,,R$ 6400.00,24.2.2018,,,5,Em negociação
PA-1522,TI,R$ 16900.00,R$ 11800.00,R$ 5100.00,24.2.2018,4.5.2018,,10,Em andamento
PA-1523,Marketing,R$ 8800.00,R$ 8800.00,R$ 0.00,24.2.2018,,,2,Aguardando NF
PA-1524,Marketing,R$ 9700.00,R$ 7800.00,R$ 1900.00,24.2.2018,,,9,Prospecção
PA-1525,Financeiro,R$ 19900.00,R$ 17900.00,R$ 2000.00,25.2.2018,3.4.2018,7.8.2018,10,Finalizado
PA-1526,Financeiro,R$ 9700.00,R$ 9700.00,R$ 0.00,25.2.2018,21.3.2018,6.6.2018,6,Finalizado
PA-1527,Comercial,R$ 3500.00,R$ 3500.00,R$ 0.00,26.2.2018,29.4.2018,,3,Em andamento
PA-1528,Marketing,R$ 4300.00,R$ 4300.00,R$ 0.00,26.2.2018,,,1,Aguardando NF
PA-1529,Comercial,R$ 24800.00,R$ 24800.00,R$ 0.00,27.2.2018,,,1,Em negociação
PA-1530,Marketing,R$ 9300.00,R$ 7400.00,R$ 1900.00,27.2.2018,,,3,Prospecção
PA-1531,MARKETING,R$ 33900.00,R$ 33900.00,R$ 0.00,27.2.2018,,,6,Prospecção
PA-1532,Marketing,R$ 13000.00,R$ 10400.00,R$ 2600.00,28.2.2018,,,8,Aguardando NF
PA-1533,Marketing,R$ 9400.00,R$ 9400.00,R$ 0.00,1.3.2018,27.4.2018,,3,Em andamento
PA-1534,Logística,R$ 32800.00,R$ 32800.00,R$ 0.00,1.3.2018,,,6,Aguardando NF
PA-1535,Marketing,R$ 15200.00,R$ 10600.00,R$ 4600.00,2.3.2018,,,7,Aguardando NF
PA-1536,Logística,R$ 12500.00,R$ 12500.00,R$ 0.00,3.3.2018,,,1,Prospecção
PA-1537,RH,R$ 15400.00,R$ 13900.00,R$ 1500.00,4.3.2018,,,3,Prospecção
PA-1538,Marketing,R$ 16200.00,R$ 16200.00,R$ 0.00,5.3.2018,,,10,Em negociação
PA-1539,Comercial,R$ 10600.00,R$ 10600.00,R$ 0.00,6.3.2018,,,6,Em negociação
PA-1540,Comercial,R$ 37300.00,R$ 37300.00,R$ 0.00,6.3.2018,,,4,Aguardando NF
PA-1541,TI,R$ 10700.00,R$ 8600.00,R$ 2100.00,7.3.2018,,,8,Aguardando NF
PA-1542,RH,R$ 12000.00,R$ 12000.00,R$ 0.00,7.3.2018,,,4,Prospecção
PA-1543,Produção,R$ 26000.00,R$ 26000.00,R$ 0.00,8.3.2018,,,2,Prospecção
PA-1544,Financeiro,R$ 17700.00,R$ 12400.00,R$ 5300.00,8.3.2018,,,2,Prospecção
PA-1545,Marketing,R$ 28900.00,R$ 23100.00,R$ 5800.00,8.3.2018,,,2,Em negociação
PA-1546,Compras,R$ 4400.00,R$ 4400.00,R$ 0.00,8.3.2018,,,6,Aguardando NF
PA-1547,Logística,R$ 37900.00,R$ 37900.00,R$ 0.00,9.3.2018,,,8,Prospecção
PA-1548,Financeiro,R$ 26300.00,R$ 18400.00,R$ 7900.00,9.3.2018,,,5,Aguardando NF
PA-1549,Marketing,R$ 30000.00,R$ 30000.00,R$ 0.00,9.3.2018,,,10,Prospecção
PA-1550,Logística,R$ 17200.00,R$ 12000.00,R$ 5200.00,10.3.2018,8.5.2018,1.9.2018,8,Finalizado
PA-1551,TI,R$ 9700.00,R$ 9700.00,R$ 0.00,10.3.2018,,,1,PROSPECÇÃO
PA-1552,Produção,R$ 13600.00,R$ 13600.00,R$ 0.00,11.3.2018,8.5.2018,,3,Em andamento
PA-1553,Marketing,R$ 27700.00,R$ 24900.00,R$ 2800.00,12.3.2018,,,4,Prospecção
PA-1554,TI,R$ 34800.00,R$ 27800.00,R$ 7000.00,12.3.2018,16.5.2018,,2,Em andamento
PA-1555,TI,R$ 28600.00,R$ 20000.00,R$ 8600.00,13.3.2018,,,7,Prospecção
PA-1556,Compras,R$ 16800.00,R$ 15100.00,R$ 1700.00,14.3.2018,,,8,Prospecção
PA-1557,Logística,R$ 24600.00,R$ 24600.00,R$ 0.00,14.3.2018,,,1,Prospecção
PA-1558,TI,R$ 16400.00,R$ 11500.00,R$ 4900.00,14.3.2018,,,1,Em negociação
PA-1559,Marketing,R$ 16900.00,R$ 16900.00,R$ 0.00,15.3.2018,,,5,Aguardando NF
PA-1560,Marketing,R$ 6700.00,R$ 5400.00,R$ 1300.00,15.3.2018,,,5,Prospecção
PA-1561,financeiro,R$ 13300.00,R$ 13300.00,,15.3.2018,,,9,Prospecção
PA-1562,Financeiro,R$ 24600.00,R$ 24600.00,R$ 0.00,15.3.2018,,,8,Em negociação
PA-1563,Financeiro,R$ 28300.00,R$ 28300.00,R$ 0.00,15.3.2018,,,2,Prospecção
PA-1564,Compras,R$ 8100.00,R$ 7300.00,R$ 800.00,15.3.2018,,,5,Prospecção
PA-1565,Financeiro,R$ 19500.00,R$ 15600.00,R$ 3900.00,15.3.2018,18.4.2018,28.9.2018,1,Finalizado
PA-1566,Logística,R$ 21600.00,R$ 21600.00,R$ 0.00,16.3.2018,,,4,Prospecção
PA-1567,TI,R$ 8000.00,R$ 8000.00,R$ 0.00,16.3.2018,,,4,Prospecção
PA-1568,Produção,R$ 21200.00,R$ 21200.00,R$ 0.00,17.3.2018,,,7,Prospecção
PA-1569,Financeiro,R$ 22500.00,R$ 22500.00,R$ 0.00,18.3.2018,,,7,Aguardando NF
PA-1570,Marketing,R$ 22300.00,R$ 15600.00,R$ 6700.00,19.3.2018,,,8,Aguardando NF
PA-1571,Marketing,R$ 12100.00,R$ 10900.00,R$ 1200.00,20.3.2018,4.5.2018,,2,Em andamento
PA-1572,Marketing,R$ 35900.00,R$ 35900.00,R$ 0.00,20.3.2018,,,7,Aguardando NF
PA-1573,Financeiro,R$ 15700.00,R$ 15700.00,R$ 0.00,21.3.2018,,,2,Em negociação
PA-1574,Logística,R$ 19200.00,R$ 19200.00,R$ 0.00,22.3.2018,25.5.2018,3.8.2018,1,Finalizado
PA-1575,Comercial,R$ 7100.00,R$ 7100.00,R$ 0.00,22.3.2018,,,3,Em negociação
PA-1576,Marketing,R$ 18900.00,R$ 15100.00,R$ 3800.00,22.3.2018,15.5.2018,,6,Em andamento
PA-1577,Financeiro,R$ 10400.00,R$ 10400.00,R$ 0.00,22.3.2018,,,5,Aguardando NF
PA-1578,Marketing,R$ 9100.00,R$ 9100.00,R$ 0.00,22.3.2018,,,7,Em negociação
PA-1579,Marketing,R$ 34600.00,R$ 31100.00,R$ 3500.00,23.3.2018,,,3,Aguardando NF
PA-1580,TI,R$ 17300.00,R$ 15600.00,R$ 1700.00,23.3.2018,,,4,Em negociação
PA-1581,Financeiro,R$ 34200.00,R$ 34200.00,R$ 0.00,24.3.2018,,,10,Aguardando NF
PA-1582,TI,R$ 23300.00,R$ 18600.00,R$ 4700.00,25.3.2018,30.4.2018,17.7.2018,10,Finalizado
PA-1583,Compras,R$ 26100.00,R$ 26100.00,R$ 0.00,25.3.2018,,,8,Prospecção
PA-1584,Logística,R$ 14300.00,R$ 14300.00,R$ 0.00,25.3.2018,,,10,Prospecção
PA-1585,Marketing,R$ 23300.00,R$ 23300.00,R$ 0.00,26.3.2018,,,5,Aguardando NF
PA-1586,Financeiro,R$ 30800.00,R$ 30800.00,R$ 0.00,27.3.2018,,,10,Prospecção
PA-1587,Comercial,R$ 29100.00,R$ 23300.00,R$ 5800.00,28.3.2018,,,5,Prospecção
PA-1588,Comercial,R$ 6100.00,R$ 5500.00,R$ 600.00,28.3.2018,,,4,Em negociação
PA-1589,Compras,R$ 28600.00,R$ 28600.00,R$ 0.00,29.3.2018,,,3,Em negociação
PA-1590,TI,R$ 14200.00,R$ 14200.00,R$ 0.00,30.3.2018,,,10,Prospecção
